book No	Author	Alternate name (i.e.  Order Name)	Translator	Title	Sub-title	Year of Publication	Publisher	Place	Edition	Subject	Class 1	Class 2	Class 3	Keywords	Synopsis	Notes	ISBN	Medium	Copies	
156	"Guenther, Herbert V."			Philosophy and Psychology in the Abidharma		1991	Motilal Banarsidass			Non Triratna authors	PAL	GEN	ABH				81-208-0773-1	Hardback book	1	
157	"Gunaratana, Henepola (Bhante)"			Eight Mindful Steps to Happiness	Walking the Buddha's Path	2001	Wisdom	Sommerville		General	GEN	GUN					0-86171-176-9	Book	1	
158	"Hamilton, Sue"			Identity & Experience		1996	Luzac Oriental				GEN	HAM					1-898942-23-4	paperback	1	
159	"Hanh, Thich Nhat"			A Guide to Walking Meditation		1985	Fellowship Publications	New York		Non Triratna authors	GEN	HAN		meditation; walking	Guide to walking meditation			Paperback book	1	
160	"Hanh, Thich Nhat"			Being Peace		1987	Parallax Press	"Berkeley, USA"		Non Triratna authors	GEN	HAN		zen; peace	Collection of lectures given by Thich Nhat Hanh to American peace activists and students of meditation discussing the importance of being peace in order to make peace		0-938077-00-7	Paperback book	1	
161	"Hanh, Thich Nhat"			Interbeing	Commentaries on the Tiep Hien Precepts	1987	Parallax Press	"Berkeley, USA"		Non Triratna authors	GEN	HAN		zen; precepts; tiep hien; ethics	History of the Tiep Hien Order and exploration of their 14 precepts		0-938077-06-6	Paperback book	1	
162	"Hanh, Thich Nhat"			Love Letter to the Earth		2013	Parallax Press				GEN	HAN					978-1-937006-38-9	paperback	1	
163	"Hanh, Thich Nhat"			Our Appointment with Life	The Buddhas Teaching on living in the present	1990	Parallax Press				GEN	HAN					0938-077368	paperback	1	
164	"Hanh, Thich Nhat"			The Miracle of Mindfulness!	A Manual on Meditation	1976	Beacon Press	Boston		Meditation Guides (Non-Triratna)	GEN	HAN		meditation; mindfulness; mahayana; theravada;	Introduction to meditation  with 32 practical exerises		0-8070-1119-3	Paperback book	1	
165	"Hanh, Thich Nhat"		"Lukianowicz,  Andrew"	The Moon Bamboo		1989	Parallax Press	"Berkeley, USA"		Non Triratna authors	GEN	HAN		thich nhat hanh; autobiography; vietnam; fiction; interconnection; zen	"Collection of stories based on Thich Nhat Han's life and Vietnam, blending fiction and non-fiction"		0-938077-20-1	Paperback book	1	
166	"Hanh, Thich Nhat"			The Sun My Heart	From Mindfulness to Insight Contemplation	1988	Parallax Press	"Berkeley, USA"		Non Triratna authors	GEN	HAN		psychology; epistemology; physics; mindfulness; insight; zen	"Sequel to The Miracle of Mindfulness, teaching on meditation practices"		0-938077-12-0	Paperback book	1	
167	"Hanh, Thich Nhat"		"Evans-Wentz, W. Y"	Transformation and Healing	Sutra on the Four Establishments of Mindfulness	1993	Rider & Co.			Non Triratna authors	GEN	HAN					0-7126-5732-0	Paperback book	1	
168	"Hanh, Thich Nhat"			Transformation at the Base	Fifty verses on the nature of consciousness	2001	Parallax Press	"Berkeley, USA"		Non Triratna authors	GEN	HAN		abhidharma; mahayana; thich nhat hanh; contemporary; psychology; consciousness;  path; zen	Commentaries on fifty verses from Abhidharma to Mahayana teaches on the nature of consciousness		1-888375-14-0	Hardback Book	1	
169	"Harvey, Peter"			An Introduction to Buddhism	"Teachings, history and practices"	1992	Cambridge University Press			Non Triratna authors	GEN	HAR					0-521-31333-3	Paperback book	1	
170	"Harvey, Peter"			An Introduction to Buddhist Ethics		2000	Cambridge University Press			Non Triratna authors	GEN	HAR					0-521-55640-6	Paperback book	1	
171	"Harvey, Peter"			The Selfless Mind	"Personality, Consciousness and Nirvana in Early Buddhism"	1995	Curzon Press			Non Triratna authors	GEN	HAR					0-7007-0338-1	Paperback book	1	
172	"Hawkins, Bradley K."			Buddhism		1999	Prentice Hall Inc			Non Triratna authors	GEN	HAW					0-13-576604-4	Paperback book	1	
173	"Hixon, Lex"			Mother of the Buddhas	Meditation on the Prajnaparamita Sutra	1993	Quest Books	"Wheaton, Illinois"		Meditation Guides (Non-Triratna)	GEN	HIX		meditation; prajnaparamita sutta; mahayana; boddhisattva; nature of reality	Contemplative expansion of 40 passages from the Prajnaparamita Sutra. Includes a foreword from Dr. Robert A. F. Thurman on the historical background of the suttas		0-8356-0689-9	Paperback	1	
174	"Holt, John C."			Discipline	The Canonical Buddhism of the Vinayapitaka	1999	Motilal Banarsidass			Non Triratna authors	GEN	HOL					81-208-1051-1	Hardback book	1	
175	"Holmes, Edmond"			The Creed of Buddha		1949	Bradford & Dickins			Non Triratna authors	GEN	HOL						Hardback book	1	
176	"Hubbard, Jamie & Swanson, Paul L. (eds)"			Pruning the Bodhi Tree	The Storm over Critical Buddhism	1997	University of Hawai'I Press			Non Triratna authors	GEN	HUB					0-8248-1949-7	Paperback book	1	
177	"Humphreys, Christmas"			Concentration and Meditation	A Manual of Mind Development	1987	Element Books Ltd	Great Britain		Non Triratna authors	GEN	HUM		meditation; concentration; buddhist society;	Classic manual of mind development with practical guides to beginner and deeper states of meditation		1-85230-008-6	Paperback book	1	
178	"Humphreys, Christmas"			Exploring Buddhism		1974	George Allen and Unwin Ltd			Non Triratna authors	GEN	HUM					0-04-294079-6	Hardback book	1	
179	"Ikeda, Daisaku"			"Buddhism, the first millenium"		1977	Kodansha International Ltd				GEN	IKE					0-87011-321-6	Hardback	1	
180	"Ishigami, Zenno"		"Gage, R L. & McCarthy, P"	Disciples of the Buddha		1989	Kosei Publishing Company			Non Triratna authors	GEN	ISH					4-333-01423-9	Paperback book	1	
181	"Jackson, Roger & Makranky, John"			Buddhist Theology	Critical Reflections by Contemporary Buddhist Scholars	2000	Curzon Press			Non Triratna authors	GEN	JAC					0-0707-1203-8	Paperback book	1	
182	"Jaini, Padmanabh"			Collected Papers on Buddhist Studies		2001	Motilal Banarsidass			Non Triratna authors	GEN	JAI					81-208-1776-1	Hardback book	1	
183	"James, Alan & Jacqui"			A Meditation Retreat		1986	Aukana Publishing	Great Britain		Non Triratna authors	GEN	JAM		meditation; retreat; mindfulness	Introduction to meditation and retreats by the founders of the House of Inner Tranquility Meditation Centre and Monastry of Absolute Harmony	some annotations in pencil	0-9511769-0-0	Paperback book	1	
184	"James, Alan & Jacqui"			Modern Buddhism		1987	Aukana Trust				GEN	JAM					0-9511769-1-9	paperback	1	
185	"Jandamit, Helen"			The Way to Vipassana	A Guide to Insight Meditation Practice	1990	V. H. Publications	Bangkok		Non Triratna authors	GEN	JAN		meditation; insight; vipassana;	"Introduction to vipassana meditation, including detailed instructions on sitting and walking meditation practices"			Paperback book	1	
186	Janakabhivamsa (Ven.Sayadaw U.)			Vipassana Meditation	Lectures on Insight Meditation	1997	Chammyay Yeiktha Meditation Centre	"Yangon, Mynamar"		Non Triratna authors	GEN	JAN		meditation; vipassana; insight; mindfulness; burma	"Introduction to vipassana meditation, including mindfulness, purification and nine ways to sharpen mental faculties"		974-89288-2-9	Paperback book	1	
187	"Jayatilleke, K N"			"Dhamma, Man & Law"			Buddhist Research Society				GEN	JAY					981-00-0220-3	paperback	1	
188	"Jayatilleke, K N"			Early Buddhist Theory of Knowledge		1980	Motilal Banarsidass				GEN	JAY						Hardback	1	
189	"Jayatilleke, K. N."			The Message of the Buddha		1975	George Allen and Unwin Ltd			Non Triratna authors	GEN	JAY					0-04-294091-5	Hardback Book	1	
190	"Jayasuriya, W. F. (Dr)"			The Psychology and Philosophy of Buddhism	An introduction to the Abhidhamma	1976	B.M.S. Publication			Non Triratna authors	PAL	GEN	ABH					Paperback book	1	
191	"Jiang, Tao"			Contexts and Dialogue	Yogacara Buddhism and Modern Psychology on the Subliminal Mind	2006	University of Hawaii Press			Non Triratna authors	GEN	JIA					0-8248-3106-3	Paperback book	1	
192	"Johnson, Will"			"Aligned, Relaxed, Resilient"	The Physical foundations of Mindfulness	2000	Shambhala				GEN	JOH					1-57062-518-2	paperback	1	
193	"Kabat-Zinn, Jon"			Mindfulness Meditation for Everyday Life		1996	Piatkus	London		Non-Triratna Authors	GEN	KAB		meditation; mindfulness;	Introduction to mindfulness meditation		0-7499-1422-x	Paperback book	1	
194	"Kalupahana, David J."			A History of Buddhist Philosophy	Continuities and Discontinuities	1992	University of Hawaii Press			Non Triratna authors	GEN	KAL					0-8248-1402-9	Paperback book	1	
195	"Kalupahana, David J."			Buddhist Philosophy	A Historical Analysis	1976	University Press of Hawaii			Non Triratna authors	GEN	KAL					0-8248-0392-2	Paperback book	1	
196	"Kalupahana, David J "			Ethics in Early Buddhism		1995	University of Hawaii Press				GEN	KAL					0-8248-1702-8	Hardback	1	
197	Kalu Rinpoche			Luminous Mind	The way of the Buddha	1997	Wisdom Publications			Non Triratna authors	GEN	KAL					0-86171-118-1	Paperback book	1	
198	"Kashyap, J."			Abidhamma Philosophy		1996	Bharatiya Vidya Prakashan			Non Triratna authors	PAL	GEN	ABH						1	
199	"Katz, Nathan"			Buddhist Images of Human Perfection	The Arhant of the Sutta Pitaka compared with the Bodhisattva and the Mahasiddha	1992	Motilal Banarsidass				GEN	KAT					81-208-0647-6	HARDBACK	1	
200	"Keown, Damien"			Buddhism	A Very Short Introduction	1996	Oxford University Press			Non Triratna authors	GEN	KEO					0-19-285329-5	Paperback book	1	
201	"Keown, Damien"			Buddhism and Bioethics		2001	Palgrave			Non Triratna authors	GEN	KEO					0-333-91280-2	Paperback book	1	
202	"Keown, Damien"		"Narada, U."	Contemporary Buddhist Ethics		2000	Curzon Press			Non Triratna authors	GEN	KEO					0-7007-1313-1	Paperback book	1	
203	"Keown, Damien"			The Nature of Buddhist Ethics		2001	Palgrave			Non Triratna authors	GEN	KEO					0-333-91309-4	Paperback book	1	
204	Khantipalo (Bhikkhu) 			Calm and Insight	A Buddhist Manual for Meditators	1984	Curzon Press	London and Dublin		Non Triratna authors	GEN	KHA		thailand; meditation	"Introduction to meditation, including mindfulness, purification"		0-7007-0141-9	Paperback book	1	
205	Khantipalo			Noble Friendship	Travels of a Buddhist Monk	2002	Windhorse	Cambridge		General	GEN	KHA					1-899579-46-X	Book	1	
206	Khantipalo (Bhikku)			What is Buddhism?		1965	Social Science association press of Thailand			Non Triratna authors	GEN	KHA						Hardback book	1	
207	"Khema, Ayya"			"Being Nobody, Going Nowhere"	Meditations on the Buddhist Path	1987	Wisdom Publications				GEN	KHE					0-86171-052-5	paperback	1	
208	"Khema, Ayya"			Here & Now		1989	Sarvodaya Vishva Lekha				GEN	KHE						paperback	1	
209	"Khema, Ayya"			I Give you my Life	The Autobiography of a western buddhist nun	1977	Shambhala				GEN	KHE					1-57062-415-1	hardback	1	
210	"Khema, Ayya"			Visible Here & Now	The Buddha's Teachings on the Rewards of Spiritual Practice	2001	Shambhala	Boston		General	PAL	GEN	KHE				1-57062-492-5	Book	1	
211	"Khema, Ayya"			Who is My Self?	A Guide to Buddhist Meditation	1997	Wisdom Publications	Boston		Non Triratna authors	PAL	GEN	KHE	meditation; Po??hap?da	"Interpretation of the Po??hap?da sutta, the Buddha's Words on Self and Consciousness"		0-86171-127-0	Paperback book	1	
212	"Khosla, Sarla"			Asvaghosa and his Times		1986	Intellectual Publishing House			Non Triratna authors	GEN	KHO					81-7076-002-X	Hardback book	1	
213	"Khosla, Sarla"			History of Buddhism in Kashmir		1972	Sagar Publications				GEN	KHO						Hardback	1	
214	"Khyentse, Dzongsar Jamyang "			What Makes You Not a Buddhist		2007	Shambala	Boston		General Buddhism	GEN	KHY					978-1-59030-406-8	Hardback book	1	
215	"Khyentse, Dzongsar Jamyang "			What Makes You Not a Buddhist		2007	Shambala	Boston		General Buddhism	GEN	KHY					978-1-59030-570-6	paperback	1	
216	"Kiyota, Minoru (ed)"			Mahayana Buddhist Meditation	Theory and Practice	1978	The University Press of Hawaii	USA		Non Triratna authors	MAH	GEN	KIY	meditation; mahayana;	Collection of essays on the theory and practice of Mah?y?na meditation		0-8248-0094-x	Hardback Book	1	
217	"Kloetzli, W. Randolph"			Buddhist Cosmology	Science and Theology in the images of Motion and Light	1989	Motilal Banarsidass			Non Triratna authors	GEN	KLO					81-208-0463-5	Hardback book	1	
218	"Kornfield, J"			A Path with Heart	A Guide through the perils and promises of spirituallife	1993	Bantam				GEN	KOR					0-553-37211-4	paperbak	1	
219	"Kornfield, Jack & Breiter, Paul (eds)"			A Still Forest Pool	The Insight Meditation of Achaan Chah	1987	The Theosophical Publishing House			Non Triratna authors	GEN	KOR					0-8356-0597-3	Paperback book	1	
220	"Kramer, Gregory"			Insight Dialogue		2007	Shambala	Boston		General Buddhism	GEN	KRA					978-1-59030-485-3	Paperback book 	1	
221	"Lamotte, E "			History of Indian Buddhism		1988	Peeters press				GEN	LAM					90-6831-100-X	Paperback	1	
222	"Levine, Stephen"			A Gradual Awakening	A practical introduction to meditation	1987	Century	"London, Melbourne, Auckland, Johannesburg"		Meditation Guides (Non-Triratna)	GEN	LEV		meditation; beginners; vipass?na	Introduction to meditation from a Vipass?na perspective		0-7126-1565-2	Paperback book	1	
223	"Lief, Judith L"			Making Friends with Death	A Buddhist Guide to Mortality	2001	Shambhala				GEN	LIE					1-57062-332-5	paperback	1	
224	"Lin, Yutang"			A Golden Ring	An Introduction to Buddhist Meditation	1994	Dharma Friends of Dr Lin			Meditation Guides (Non-Triratna)	GEN	LIN		meditation; chinese	Transcription of a series of talks given by Dr Lin on Buddhism and meditation			Pamphlet	1	
225	"Ling, Trevor"			Buddhist Revival in India	Aspects of the sociology of Buddhism	1980	Macmillan Press			Non Triratna authors	GEN	LIN					0-333-24533-4	Hardback book	1	
226	"Ling, Trevor"			The Buddha	Buddhist civilisation in India and Ceylon	1973	Maurice Temple Smith Ltd.				GEN	LIN					08511-7034-x	Hardback book	1	
227	"Lopez, Donald S. Jr"			Buddhism and Science		2008	Univeristy of Chicago			Non Triratna authors	GEN	LOP					0-226-49312-1	Hardback book	1	
228	"Lopez, Donald S. Jr"			Buddhism in Practice		1995	Princeton University Press			Non Triratna authors	GEN	LOP					0-691-0441-4		1	
229	"Loudon, Sumi (ed)"			Blue Jean Buddha	Voices of Young Buddhists	2001	Wisdom Publications				GEN	LOU					0-86171-177-7	paperback	1	
230	"Lounsbery, G Constant"			Buddhist Meditation in the Southern School	Theory & Practice for Westerners	1935	"Kegan Paul, Trench, Trubner & Co."				GEN	LOU						hardback	1	
231	"Loundon, Sumi (ed.)"			The Buddha's Apprentices	More voices of young Buddhists	2006	Wisdom	Boston		General	GEN	LOU					0-86171-332-X	Book	1	
232	"Mackenzie, Vicki"			Cave in the Snow		1998	Bloomsbury Books				GEN	MAC					0-7475-3330-	hardback	1	
233	"McDonald, Kathleen"			How to Meditate	A Practical Guide	1985	Wisdom Publications	London	3	Non Triratna authors	GEN	MAC		meditation; mindfulness; visualization; mantra;tibetan; mahayana		Some markings on one copy	0-86171-009-6	Paperback book	1	
234	"Macy, Joanna"			Mutual Causality in Buddhism and General Systems Theory	The Dharma of Natural Systems	1991	State University of New York Press			Non-Triratna Authors	GEN	MAC					0-7914-0637-7	Paperback book	1	
235	Matara Nanarama Thera (Ven. Sri) 			The Seven Contemplations of Insight	A treatise on Insight Meditation	1997	Buddhist Publication Society			Non Triratna authors	GEN	MAT					955-24-0124-0	Paperback book	1	
236	"Miller, Andrea (ed)"			Buddha's Daughters	Teachings from women who are shaping Buddhism in the west	2014	Shambhala				GEN	MIL					978-1-59030-623-9	paperback	1	
237	"Misra, G.S.P."			Development of Buddhist Ethics		1984	Munshiram Manoharlal Publishers			Non Triratna authors	GEN	MIS					81-215-0115-6	Hardback book	1	
238	"Mitchell, Donald W."			Buddhism	Introducing the Buddhist Experience	2002	Oxford University Press			Non Triratna authors	GEN	MIT					0-19-513952-6	Paperback book	1	
239	"Morrison, Robert G"			Nietzsche & Buddhism		1997	OUP				GEN	MOR					0-19-823556-9	hardback	1	
240	"Morgan, Kenneth W."			The Path of the Buddha	Buddhism interpreted by Buddhists	1993	Motilal Banarsidass			Non Triratna authors	GEN	MOR					81-208-0030-3	Hardback book	1	
241	"Wangchen, Nagyal (Geshe)"			Awakening the Mind		1995	Wisdom publications	Boston		General Buddhism	GEN	NAG					0- 86171-102-5	Paperback book 	1	
242	"Nairn, Rob"			What is Meditation?	Buddhism for Everyone	2000	Shambhala Publications	Boston		Meditation Guides (Non-Triratna)	GEN	NAI		meditation;	Introduction to Meditation and Buddhism		1-57062-715-0	Paperback book	1	
243	"Nakamura, Hajime"			Indian Buddhism		1989	Motilal Banarsidass				GEN	NAK					81-208-0272-1	Hardback	1	
244	"Namto, Sobin S. (Achan) (edited by Rev. Martha Dhamap?li)"		"Rothwell, Fred"	Insight Meditation	Practical Steps to Ultimate Truth	1989	Vipass?na Dhurha Meditation Society	USA		Meditation Guides (Non-Triratna)	GEN	NAM		meditation; vipass?na; abhidharma psychology; thailand; burma	Exploration  and introduction to the Vipass?na practice of meditation.		947-8357-85-6	Paperback book	1	
245	Narada (Mahathera)			Buddhism in a Nutshell			Buddhist Cultural Centre			Non Triratna authors	GEN	NAR						Paperback book	1	
246	Narada (Mahathera)			The Buddha and his Teachings		1998	Buddhist Missionary Society			Non Triratna authors	GEN	NAR					976-9920-44-5	Paperback book	1	
247	Narada (Mahathera)			The Buddha and his Teachings		1998	Buddhist Missionary Society			Non Triratna authors	GEN	NAR					976-9920-44-5	Paperback book	1	
248	"Narasu, P.Lakshmi"			The Essence of Buddhism		1993	Asian Educational Services			Non-Triratna Authors	GEN	NAR					81-206-0220-x	Paperback book	1	
249	Narada (Mahathera)			The Manual of Abhidhamma	Abhidhammattha-Sangha	1956	Power Press			Non Triratna authors	PAL	GEN	ABH					Hardback book	1	
250	"Nisker, Wes"			Buddha's Nature		1998	Rider				GEN	NIS					0-7126-7066-1	paperback	1	
251	Nyanaponika (Thera)			Abhidhamma Studies	Buddhist Exploration of Consciousness and Time	1998	Buddhist Publication Society			Non Triratna authors	PAL	GEN	ABH				0-86171-135-1	Paperback book	1	
252	Nyanaponika (Thera)			Abhidhamma Studies	Researches in Buddhist Psychology	1976	Buddhist Publication Society			Non Triratna authors	PAL	GEN	ABH					Paperback book	1	
253	Nyanasobhano (Bhikkhu)			Landscapes of Wonder	Discovering Buddhist Dhamma in the World Around Us	1998	Wisdom	Boston		General	GEN	NYA					0-86171-142-4	Book	1	
254	Nyanaponika (Thera)		"Nanamoli, Bhikkhu"	The Heart of Buddhist Meditation	A handbook of mental training based on the Buddhist way of Mindfulness	1987	Century Hutchinson Limited	London		Non Triratna authors	GEN	NYA		buddhist publication society; mindfulness; meditation' theravada; satipatthana			0-09-152331-1	Paperback book	1	
